AFFILIATION_ID|PROVIDER_ID|AFFILIATE_PROVIDER_ID|AFFILIATION_TYPE_CD|PREFERRED_AFFIL_FLAG|AFFILIATE_PAYABLE|PCP_FLAG|EFFECTIVE_DT|TERM_DT
BKC14985013^BKC000000026^20161110_000000.^BKC0NA|BKC14985013^BKC0NA|BKC000000026^BKC0NA||N|||2016-11-10|9999-12-31
BKC15183061^BKC000000007^20160101_000000.^BKC0NA|BKC15183061^BKC0NA|BKC000000007^BKC0NA||N|||2016-01-01|9999-12-31
BKC15277043^BKC000000008^20160101_000000.^BKC0NA|BKC15277043^BKC0NA|BKC000000008^BKC0NA||N|||2016-01-01|9999-12-31
BKC15340131^BKC000000017^20160101_000000.^BKC0NA|BKC15340131^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC15382056^BKC000000006^20160101_000000.^BKC0NA|BKC15382056^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC15525050^BKC000000004^20160601_000000.^BKC0NA|BKC15525050^BKC0NA|BKC000000004^BKC0NA||N|||2016-06-01|9999-12-31
BKC15629089^BKC000000019^20160101_000000.^BKC0NA|BKC15629089^BKC0NA|BKC000000019^BKC0NA||N|||2016-01-01|9999-12-31
BKC15705108^BKC000000006^20160101_000000.^BKC0NA|BKC15705108^BKC0NA|BKC000000006^BKC0NA||N|||2016-01-01|9999-12-31
BKC16165079^BKC000000020^20160701_000000.^BKC0NA|BKC16165079^BKC0NA|BKC000000020^BKC0NA||N|||2016-07-01|9999-12-31
BKC16212044^BKC000000017^20160101_000000.^BKC0NA|BKC16212044^BKC0NA|BKC000000017^BKC0NA||N|||2016-01-01|9999-12-31
BKC16225106^BKC000000002^20160101_000000.^BKC0NA|BKC16225106^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16225116^BKC000000002^20160101_000000.^BKC0NA|BKC16225116^BKC0NA|BKC000000002^BKC0NA||N|||2016-01-01|9999-12-31
BKC16279035^BKC000000012^20160101_000000.^BKC0NA|BKC16279035^BKC0NA|BKC000000012^BKC0NA||N|||2016-01-01|9999-12-31
