PROVIDER_ID|SPECIALTY_CD|EFFECTIVE_DT|TERM_DT
BKC07406033^BKC0NA|01|1955-01-01|
BKC07470035^BKC0NA|INTMED|1955-01-01|
BKC07584071^BKC0NA|INTMED|1955-01-01|
BKC07603051^BKC0NA|01|1955-01-01|
BKC07637066^BKC0NA|01|1955-01-01|
BKC07896064^BKC0NA|01|1900-01-01|
BKC07937145^BKC0NA|01|1900-01-01|
BKC07978022^BKC0NA|INTMED|1955-01-01|
BKC07992068^BKC0NA|INTMED|1955-01-01|
BKC08106040^BKC0NA|INTMED|1955-01-01|
BKC08200017^BKC0NA|01|1955-01-01|
BKC08385042^BKC0NA|INTMED|1955-01-01|
BKC08400040^BKC0NA|01|1955-01-01|
BKC08400050^BKC0NA|01|1955-01-01|
BKC08411065^BKC0NA|INTMED|1955-01-01|
BKC08499029^BKC0NA|01|1955-01-01|
BKC08505047^BKC0NA|01|1955-01-01|
BKC08506035^BKC0NA|INTMED|1955-01-01|
BKC08510043^BKC0NA|01|1955-01-01|
BKC08650019^BKC0NA|INTMED|1955-01-01|
BKC08724086^BKC0NA|INTMED|1955-01-01|
BKC08889047^BKC0NA|INTMED|1955-01-01|
BKC08924029^BKC0NA|01|1955-01-01|
BKC08924049^BKC0NA|01|1955-01-01|
BKC08964028^BKC0NA|01|1955-01-01|
BKC08982066^BKC0NA|INTMED|1955-01-01|
BKC08984062^BKC0NA|INTMED|1955-01-01|
BKC09018072^BKC0NA|INTMED|1955-01-01|
BKC09074023^BKC0NA|01|1955-01-01|
BKC09285061^BKC0NA|INTMED|1955-01-01|
BKC09328079^BKC0NA|01|1955-01-01|
BKC09328169^BKC0NA|01|1955-01-01|
BKC09341116^BKC0NA|01|1955-01-01|
BKC09415053^BKC0NA|INTMED|1955-01-01|
BKC09435098^BKC0NA|01|1955-01-01|
BKC09435108^BKC0NA|01|1955-01-01|
BKC09435118^BKC0NA|01|1955-01-01|
BKC09483028^BKC0NA|INTMED|1900-01-01|
BKC09505072^BKC0NA|INTMED|1900-01-01|
BKC09573067^BKC0NA|INTMED|1955-01-01|
BKC09997060^BKC0NA|INTMED|1955-01-01|
BKC10000045^BKC0NA|INTMED|1900-01-01|
BKC10022026^BKC0NA|01|1955-01-01|
BKC10031065^BKC0NA|01|1900-01-01|
BKC10106071^BKC0NA|01|1955-01-01|
BKC10125037^BKC0NA|INTMED|1955-01-01|
BKC10141029^BKC0NA|01|1955-01-01|
BKC10204081^BKC0NA|01|1955-01-01|
BKC10209071^BKC0NA|01|1955-01-01|
BKC10209081^BKC0NA|01|1955-01-01|
BKC10209091^BKC0NA|01|1955-01-01|
BKC10278054^BKC0NA|INTMED|1955-01-01|
BKC10319045^BKC0NA|01|1955-01-01|
BKC10319055^BKC0NA|01|1955-01-01|
BKC10343038^BKC0NA|INTMED|1955-01-01|
BKC10448055^BKC0NA|01|1955-01-01|
BKC10452103^BKC0NA|INTMED|1955-01-01|
BKC10489052^BKC0NA|INTMED|1955-01-01|
BKC10534031^BKC0NA|01|1900-01-01|
BKC10652036^BKC0NA|01|1955-01-01|
BKC10790105^BKC0NA|INTMED|1955-01-01|
BKC10867027^BKC0NA|01|1955-01-01|
BKC11013112^BKC0NA|INTMED|1955-01-01|
BKC11072058^BKC0NA|INTMED|1955-01-01|
BKC11208129^BKC0NA|01|1955-01-01|
BKC11216050^BKC0NA|01|1955-01-01|
BKC11217018^BKC0NA|01|1955-01-01|
BKC11456071^BKC0NA|01|1955-01-01|
BKC11485055^BKC0NA|INTMED|1955-01-01|
BKC11549085^BKC0NA|INTMED|1955-01-01|
BKC11549085^EHI0NA|INTMED|1955-01-01|
BKC11577031^BKC0NA|INTMED|1955-01-01|
BKC12126066^BKC0NA|01|1955-01-01|
BKC12456027^BKC0NA|01|1955-01-01|
BKC12461033^BKC0NA|01|1955-01-01|
BKC12477040^BKC0NA|INTMED|1955-01-01|
BKC12488025^BKC0NA|INTMED|1900-01-01|
BKC12635097^BKC0NA|01|1900-01-01|
BKC12641121^BKC0NA|01|1955-01-01|
BKC12737090^BKC0NA|INTMED|1955-01-01|
BKC12767051^BKC0NA|01|1955-01-01|
BKC12775112^BKC0NA|01|1955-01-01|
BKC13117072^BKC0NA|01|1955-01-01|
BKC13193048^BKC0NA|01|1955-01-01|
BKC13234019^BKC0NA|01|1955-01-01|
BKC13238081^BKC0NA|01|1955-01-01|
BKC13283097^BKC0NA|01|1955-01-01|
BKC13319051^BKC0NA|01|1955-01-01|
BKC13348045^BKC0NA|INTMED|1955-01-01|
BKC13423056^BKC0NA|01|1955-01-01|
BKC13423076^BKC0NA|01|1955-01-01|
BKC13468036^BKC0NA|INTMED|1955-01-01|
BKC13472054^BKC0NA|INTMED|1955-01-01|
BKC13496191^BKC0NA|01|1900-01-01|
BKC13547050^BKC0NA|01|1955-01-01|
BKC13681016^BKC0NA|01|1955-01-01|
BKC13829061^BKC0NA|01|1955-01-01|
BKC13874046^BKC0NA|01|1955-01-01|
BKC13891076^BKC0NA|INTMED|1955-01-01|
BKC13913031^BKC0NA|01|1955-01-01|
BKC13927051^BKC0NA|INTMED|1955-01-01|
BKC13933035^BKC0NA|INTMED|1955-01-01|
BKC13958031^BKC0NA|GP|1900-01-01|
BKC14025022^BKC0NA|01|1955-01-01|
BKC14143067^BKC0NA|01|1955-01-01|
BKC14172021^BKC0NA|01|1955-01-01|
BKC14244011^BKC0NA|01|1955-01-01|
BKC14255047^BKC0NA|INTMED|1955-01-01|
BKC14295106^BKC0NA|01|1955-01-01|
BKC14341013^BKC0NA|INTMED|1955-01-01|
BKC14346074^BKC0NA|01|1955-01-01|
BKC14422043^BKC0NA|01|1955-01-01|
BKC14422053^BKC0NA|01|1955-01-01|
BKC14422063^BKC0NA|01|1955-01-01|
BKC14430064^BKC0NA|01|1955-01-01|
BKC14430074^BKC0NA|01|1955-01-01|
BKC14730013^BKC0NA|01|1955-01-01|
BKC14985013^BKC0NA|01|1955-01-01|
BKC15183061^BKC0NA|01|1955-01-01|
BKC15277043^BKC0NA|01|1900-01-01|
BKC15340131^BKC0NA|01|1955-01-01|
BKC15382056^BKC0NA|01|1955-01-01|
BKC15525050^BKC0NA|01|1900-01-01|
BKC15629089^BKC0NA|01|1955-01-01|
